system:index,month,pdsi,year,.geo
198205,5,6.171005575971486,1982,"{""type"":""MultiPoint"",""coordinates"":[]}"
198206,6,10.286046245049032,1982,"{""type"":""MultiPoint"",""coordinates"":[]}"
198207,7,56.208320974136456,1982,"{""type"":""MultiPoint"",""coordinates"":[]}"
198208,8,119.23932178959924,1982,"{""type"":""MultiPoint"",""coordinates"":[]}"
198209,9,89.95285761999988,1982,"{""type"":""MultiPoint"",""coordinates"":[]}"
198305,5,50.202432325935,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
198306,6,98.07095224485809,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
198307,7,171.3015975989474,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
198308,8,89.58935119008463,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
198309,9,158.9223114233165,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
198405,5,-37.44979794540426,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
198406,6,-0.27338890049684167,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
198407,7,-98.0880639514393,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
198408,8,-147.17754952467143,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
198409,9,-74.11023206520723,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
198505,5,177.96010994413876,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
198506,6,141.7499066678455,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
198507,7,6.072694661537915,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
198508,8,75.14110501011837,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
198509,9,97.05148738095433,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
198605,5,102.34510353383367,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
198606,6,59.161682427204944,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
198607,7,248.23965189334598,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
198608,8,193.9904360836824,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
198609,9,201.50347875373217,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
198705,5,-125.65219700478987,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
198706,6,-203.68143361073692,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
198707,7,-166.13827046201948,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
198708,8,-56.80133916982007,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
198709,9,-107.32228614506931,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
198805,5,-324.64680385497746,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
198806,6,-316.1356139729436,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
198807,7,-279.8413678483251,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
198808,8,-174.58356753717177,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
198809,9,-184.39807838414163,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
198905,5,-198.00178556938064,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
198906,6,-122.17031852431765,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
198907,7,-178.70970895052972,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
198908,8,-176.6050366565245,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
198909,9,-154.66413738665995,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
199005,5,28.9988612521159,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
199006,6,-1.5232795304033044,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
199007,7,-49.25542463937772,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
199008,8,-79.64480811461259,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
199009,9,-200.90478536418888,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
199105,5,-61.63395488500265,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
199106,6,47.173522865105234,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
199107,7,50.86745809542327,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
199108,8,-57.95319187304652,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
199109,9,-50.28069664482994,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
199205,5,35.32333039719329,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
199206,6,12.314385303632362,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
199207,7,0.9675034887481394,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
199208,8,-22.117679081643956,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
199209,9,58.56683900927843,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
199305,5,-121.89791986290322,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
199306,6,-46.932957332331185,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
199307,7,163.37039848671,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
199308,8,267.4351942190939,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
199309,9,237.3927259335355,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
199405,5,21.29355506799069,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
199406,6,-16.58329988938677,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
199407,7,-23.155600998992103,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
199408,8,-75.14983856162317,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
199409,9,-126.39121324366488,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
199505,5,-135.68601046727125,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
199506,6,-158.5135682237905,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
199507,7,-127.36185002999457,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
199508,8,147.65892200722416,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
199509,9,57.863058756698756,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
199605,5,211.13069420395894,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
199606,6,287.4522092289823,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
199607,7,262.5574088086116,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
199608,8,205.895686133213,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
199609,9,235.38475365200253,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
199705,5,261.2663002030356,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
199706,6,291.6988920543397,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
199707,7,270.16841071299547,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
199708,8,251.30730281207858,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
199709,9,284.6209684830457,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
199805,5,-189.16397868501613,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
199806,6,-121.9838195403004,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
199807,7,-130.78121734569729,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
199808,8,-212.03619837095465,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
199809,9,-224.93726412366001,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
199905,5,-51.920652894627615,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
199906,6,15.822482118237566,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
199907,7,62.57955090808415,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
199908,8,38.670572190774095,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
199909,9,-4.047135849364391,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
200005,5,-157.25598908828147,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200006,6,-71.02578947708274,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200007,7,-44.303158673247324,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200008,8,58.965873211367594,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200009,9,95.31893131103412,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200105,5,-118.1291750916957,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200106,6,-97.13071826989044,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200107,7,-49.434438613817896,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200108,8,-102.08542571927738,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200109,9,-155.84067787412468,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200205,5,-222.2910338099605,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200206,6,-216.4257294890511,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200207,7,-169.6299489358457,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200208,8,-50.47569126319006,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200209,9,-21.670132220820932,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200305,5,-46.04808264709606,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200306,6,-31.862517255217963,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200307,7,-61.834415247855546,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200308,8,-150.60440257156768,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200309,9,-79.75765163998797,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
200405,5,88.95841454081511,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200406,6,97.47346622898566,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200407,7,130.17297349799728,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200408,8,148.55794298568048,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200409,9,180.9828871027483,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200505,5,38.87813175061493,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
200506,6,145.26421205959915,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
200507,7,213.76101935488734,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
200508,8,305.33400011956945,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
200509,9,345.13882639584165,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
200605,5,55.827372697810915,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
200606,6,-12.040408898563559,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
200607,7,-71.70353078954338,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
200608,8,-112.62782287142981,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
200609,9,-122.42352570647225,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705,5,-20.574104466849537,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
200706,6,28.2758036478391,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
200707,7,-68.03606111938105,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
200708,8,-64.8987165642766,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
200709,9,-31.68862510255508,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
200805,5,-128.5721212465391,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
200806,6,-140.3398949375984,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
200807,7,-113.89496974782524,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
200808,8,-150.25666358379664,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
200809,9,-162.02892836719664,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
200905,5,44.77259766537336,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
200906,6,98.53036581044424,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
200907,7,172.29512505426007,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
200908,8,164.23038402045174,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
200909,9,18.633862987063956,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
201005,5,118.76202409847454,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
201006,6,163.51669131049005,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
201007,7,223.2517886993948,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
201008,8,338.8429349120455,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
201009,9,412.1946223000067,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
201105,5,204.92156920403485,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
