system:index,evap_mm,month,year,.geo
199606,-2.7878648421029757,6,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
199607,-3.233160730247307,7,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
199608,-2.779433679476774,8,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
199609,-1.7572642189903955,9,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
199705,-1.6746455685800312,5,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
199706,-2.933165420181336,6,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
199707,-3.2731278108021127,7,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
199708,-2.6775318060668463,8,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
199709,-1.7446942497169506,9,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
199805,-2.0431991127194276,5,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
199806,-2.5190555516859487,6,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
199807,-3.4623619936347008,7,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
199808,-2.8374737791910216,8,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
199809,-1.6777081864208148,9,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
199905,-1.9072804237630687,5,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
199906,-2.9216256096953135,6,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
199907,-3.396257844038369,7,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
199908,-2.662355030424598,8,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
199909,-1.7615040168465224,9,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
200005,-1.71798565281896,5,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200006,-2.60676875218421,6,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200007,-3.114814612788415,7,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200008,-2.692818608469754,8,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200009,-1.7471495341052987,9,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200105,-1.807950518444075,5,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200106,-2.6833160925924595,6,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200107,-3.1190591210383736,7,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200108,-2.662712654459415,8,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200109,-1.5446493065860065,9,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200205,-1.4296642519176794,5,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
